tour_id,tour_name,canonical_name,canonical_type,year,creator,rank,team,user,bonus,combative,mountain,intermediate_sprint,stage_finish,stage_total,gc_points,young_rider,sprinter,climber,general_total,total
3826,Vuelta 2k25,Vuelta 2025,Vuelta,2025,Marseillais,1,Vinaboy,Alpaga,4,15,133,13,884,1045,446,0,89,223,758,1803
3826,Vuelta 2k25,Vuelta 2025,Vuelta,2025,Marseillais,2,GoudalEnergies,David Choncoutié,4,0,61,4,919,984,476,191,35,97,799,1783
3826,Vuelta 2k25,Vuelta 2025,Vuelta,2025,Marseillais,3,Meunier Tudor,PeeJee,3,10,61,68,733,872,464,0,318,84,866,1738
3826,Vuelta 2k25,Vuelta 2025,Vuelta,2025,Marseillais,4,Muskatel Muskadji,Marseillais,0,10,46,22,353,431,266,190,36,5,497,928
3826,Vuelta 2k25,Vuelta 2025,Vuelta,2025,Marseillais,5,DE Deceptive Education,Benny Lee,0,0,22,7,445,475,161,44,127,4,336,811
3826,Vuelta 2k25,Vuelta 2025,Vuelta,2025,Marseillais,6,Pat’ Pat’ rouillé,Patron,0,0,20,8,335,363,296,18,15,2,331,694
3577,Euro TDF JO Routes du Champ,Tour de France 2024,Tour de France,2024,kli_max,1,GoudalEnergies,David Choncoutié,4,0,69,28,1085,1182,574,200,187,87,1048,2230
3577,Euro TDF JO Routes du Champ,Tour de France 2024,Tour de France,2024,kli_max,2,PE - Priorité Éducation,bigdaddy,4,5,84,8,867,964,740,0,36,120,896,1860
3577,Euro TDF JO Routes du Champ,Tour de France 2024,Tour de France,2024,kli_max,3,Les Dauphins libérées,Marino,4,0,30,3,823,857,527,304,46,57,934,1791
3577,Euro TDF JO Routes du Champ,Tour de France 2024,Tour de France,2024,kli_max,4,Pat,Patron,4,10,226,29,895,1160,265,0,172,91,528,1688
3577,Euro TDF JO Routes du Champ,Tour de France 2024,Tour de France,2024,kli_max,5,PG Tips,PeeJee,4,10,53,35,614,712,88,116,100,36,340,1052
3577,Euro TDF JO Routes du Champ,Tour de France 2024,Tour de France,2024,kli_max,6,Muskatel Muskadji,Marseillais,2,40,44,62,491,638,26,25,44,102,197,835
3577,Euro TDF JO Routes du Champ,Tour de France 2024,Tour de France,2024,kli_max,7,Discoroti Channel,kli_max,3,40,72,78,404,594,28,28,79,29,164,758
3577,Euro TDF JO Routes du Champ,Tour de France 2024,Tour de France,2024,kli_max,8,The Revenge,Benny Lee,2,0,8,0,525,533,131,0,0,0,131,664
3577,Euro TDF JO Routes du Champ,Tour de France 2024,Tour de France,2024,kli_max,9,Jon,Alpaga,0,5,45,16,211,277,148,0,0,48,196,473
3447,Le Giro de Pogi,Giro 2024,Giro,2024,kli_max,1,Muskatel Muskadji,Marseillais,3,0,27,76,960,1063,656,213,10,8,887,1950
3447,Le Giro de Pogi,Giro 2024,Giro,2024,kli_max,2,Squadra Pi-Giro,PeeJee,4,0,144,77,876,1097,533,30,42,241,846,1943
3447,Le Giro de Pogi,Giro 2024,Giro,2024,kli_max,3,Groupatron FDJ,Patron,3,0,68,76,651,795,438,15,164,154,771,1566
3447,Le Giro de Pogi,Giro 2024,Giro,2024,kli_max,4,Leopard_Trek,Alpaga,3,0,40,120,707,868,350,77,81,28,536,1404
3447,Le Giro de Pogi,Giro 2024,Giro,2024,kli_max,5,Discoroti Channel,kli_max,3,0,3,84,738,825,247,0,223,0,470,1295
3447,Le Giro de Pogi,Giro 2024,Giro,2024,kli_max,6,GoudalEnergies,David Choncoutié,4,0,111,50,664,826,143,202,1,82,428,1254
3447,Le Giro de Pogi,Giro 2024,Giro,2024,kli_max,7,Crédit Agricole à bois,Benny Lee,0,0,12,43,681,736,124,0,181,5,310,1046
3447,Le Giro de Pogi,Giro 2024,Giro,2024,kli_max,8,PE - primo educazione,bigdaddy,1,0,22,25,420,467,15,10,2,61,88,555
3447,Le Giro de Pogi,Giro 2024,Giro,2024,kli_max,9,Magic Rino,Marino,0,0,1,44,283,328,0,0,26,0,26,354
3332,Vuelta 2023,Vuelta 2023,Vuelta,2023,kli_max,1,Ineos Patroniers,Patron,4,20,290,57,873,1240,609,111,175,218,1113,2353
3332,Vuelta 2023,Vuelta 2023,Vuelta,2023,kli_max,2,GoudalEnergies,David Choncoutié,4,0,37,19,774,830,431,333,31,14,809,1639
3332,Vuelta 2023,Vuelta 2023,Vuelta,2023,kli_max,3,JoJo la menace,Alpaga,2,0,42,16,605,664,460,25,24,30,539,1203
3332,Vuelta 2023,Vuelta 2023,Vuelta,2023,kli_max,4,Discoroti Channel,kli_max,4,0,81,11,598,690,354,0,79,79,512,1202
3332,Vuelta 2023,Vuelta 2023,Vuelta,2023,kli_max,5,Dakar Byers Club,Benny Lee,0,5,75,92,531,703,11,0,244,142,397,1100
3332,Vuelta 2023,Vuelta 2023,Vuelta,2023,kli_max,6,PE - Priorité Éducation,bigdaddy,1,0,11,0,641,652,234,180,20,0,434,1086
3332,Vuelta 2023,Vuelta 2023,Vuelta,2023,kli_max,7,La Rotunda,Marino,4,5,28,23,532,588,206,15,72,13,306,894
3332,Vuelta 2023,Vuelta 2023,Vuelta,2023,kli_max,8,Muskatel Muskadji,Marseillais,0,25,79,21,534,660,10,22,8,75,115,775
3332,Vuelta 2023,Vuelta 2023,Vuelta,2023,kli_max,9,La Team Lidl,PeeJee,3,0,50,16,350,416,58,1,4,52,115,531
3099,TdF 2023 - La vengeance de Pogi ?,Tour de France 2023,Tour de France,2023,kli_max,1,MarinoStar,Marino,4,0,48,16,725,789,440,262,59,58,819,1608
3099,TdF 2023 - La vengeance de Pogi ?,Tour de France 2023,Tour de France,2023,kli_max,2,GoudalEnergies,David Choncoutié,4,15,25,3,799,842,535,170,25,13,743,1585
3099,TdF 2023 - La vengeance de Pogi ?,Tour de France 2023,Tour de France,2023,kli_max,3,Discoroti Channel,kli_max,4,10,52,18,649,730,573,0,40,70,683,1413
3099,TdF 2023 - La vengeance de Pogi ?,Tour de France 2023,Tour de France,2023,kli_max,4,Muskatel Muskadji,Marseillais,4,5,59,24,592,680,370,22,128,54,574,1254
3099,TdF 2023 - La vengeance de Pogi ?,Tour de France 2023,Tour de France,2023,kli_max,5,PE - Priorité Éducation,bigdaddy,1,20,124,53,469,667,65,91,156,275,587,1254
3099,TdF 2023 - La vengeance de Pogi ?,Tour de France 2023,Tour de France,2023,kli_max,6,Ineos Patronier,Patron,3,25,48,27,580,681,317,0,65,22,404,1085
3099,TdF 2023 - La vengeance de Pogi ?,Tour de France 2023,Tour de France,2023,kli_max,7,LeopardTank,Alpaga,3,0,54,43,695,792,29,0,240,6,275,1067
3099,TdF 2023 - La vengeance de Pogi ?,Tour de France 2023,Tour de France,2023,kli_max,8,Intermarché - Circus - Piji,PeeJee,3,10,208,26,450,694,52,95,0,135,282,976
3099,TdF 2023 - La vengeance de Pogi ?,Tour de France 2023,Tour de France,2023,kli_max,9,Abyssal Cycling Team,Benny Lee,2,0,46,3,517,566,132,84,17,35,268,834
3099,TdF 2023 - La vengeance de Pogi ?,Tour de France 2023,Tour de France,2023,kli_max,10,Les Pédales,Fangio,2,0,12,19,342,373,50,0,36,0,86,459
3014,Dauphine 2023,Critérium du Dauphiné 2023,Critérium du Dauphiné,2023,kli_max,1,Discoroti Channel,kli_max,3,0,41,15,563,620,142,78,116,17,353,973
3014,Dauphine 2023,Critérium du Dauphiné 2023,Critérium du Dauphiné,2023,kli_max,2,Muskatel Muskadji,Marseillais,4,15,3,24,441,483,201,53,24,0,278,761
3014,Dauphine 2023,Critérium du Dauphiné 2023,Critérium du Dauphiné,2023,kli_max,3,Critérium Patronium,Patron,1,0,20,0,322,342,151,0,30,30,211,553
3014,Dauphine 2023,Critérium du Dauphiné 2023,Critérium du Dauphiné,2023,kli_max,4,GoudalEnergies,David Choncoutié,3,0,27,0,276,303,138,8,15,22,183,486
3014,Dauphine 2023,Critérium du Dauphiné 2023,Critérium du Dauphiné,2023,kli_max,5,Look-Malongo,bigdaddy,0,20,40,31,163,254,90,0,53,29,172,426
3014,Dauphine 2023,Critérium du Dauphiné 2023,Critérium du Dauphiné,2023,kli_max,6,Saxobank,Alpaga,1,5,35,0,247,287,61,21,12,30,124,411
3014,Dauphine 2023,Critérium du Dauphiné 2023,Critérium du Dauphiné,2023,kli_max,7,Les Dauphins et Belles Raies,Marino,4,0,31,4,168,203,90,71,0,32,193,396
3014,Dauphine 2023,Critérium du Dauphiné 2023,Critérium du Dauphiné,2023,kli_max,8,Intermarché - Circus - Piji,PeeJee,2,15,34,4,140,194,57,20,0,37,114,308
3014,Dauphine 2023,Critérium du Dauphiné 2023,Critérium du Dauphiné,2023,kli_max,9,LesGrossesGougouttes - Bardiani,Benny Lee,0,0,1,0,75,76,18,14,0,0,32,108
2953,Giro de P***,Giro 2023,Giro,2023,Marseillais,1,GoudalEnergies,David Choncoutié,4,0,82,35,774,891,154,10,144,178,486,1377
2953,Giro de P***,Giro 2023,Giro,2023,Marseillais,2,Muskatel Muskadji,Marseillais,4,0,80,16,814,910,275,59,16,75,425,1335
2953,Giro de P***,Giro 2023,Giro,2023,Marseillais,3,LuxTeam,Alpaga,4,0,6,24,741,771,222,16,241,0,479,1250
2953,Giro de P***,Giro 2023,Giro,2023,Marseillais,4,Squadra Pi-Giro,PeeJee,3,0,18,30,437,486,490,232,3,17,742,1228
2953,Giro de P***,Giro 2023,Giro,2023,Marseillais,5,Tour De Tietema,Benny Lee,3,0,76,0,560,636,436,80,34,21,571,1207
2953,Giro de P***,Giro 2023,Giro,2023,Marseillais,6,PE - Priorité Éducation,bigdaddy,1,0,39,80,518,638,313,173,66,6,558,1196
2953,Giro de P***,Giro 2023,Giro,2023,Marseillais,7,Los Marginos del Giro,Marino,4,0,33,29,569,631,312,204,12,8,536,1167
2953,Giro de P***,Giro 2023,Giro,2023,Marseillais,8,Discoroti Channel,kli_max,4,0,20,57,574,651,425,1,1,21,448,1099
2953,Giro de P***,Giro 2023,Giro,2023,Marseillais,9,Ineos Patroniers,Patron,1,0,96,16,395,507,84,0,89,97,270,777
2909,Les Classiques de l'individualisme,Classiques 2023,Classiques,2023,kli_max,1,Muskatel Muskadji,Marseillais,1,0,0,0,783,783,0,0,0,0,0,783
2909,Les Classiques de l'individualisme,Classiques 2023,Classiques,2023,kli_max,2,Ineos Patroniers,Patron,4,0,0,0,597,597,0,0,0,0,0,597
2909,Les Classiques de l'individualisme,Classiques 2023,Classiques,2023,kli_max,3,Leopard_Trek,Alpaga,1,0,0,0,499,499,0,0,0,0,0,499
2909,Les Classiques de l'individualisme,Classiques 2023,Classiques,2023,kli_max,4,Aller Alain Philippe,Benny Lee,1,0,0,0,466,466,0,0,0,0,0,466
2909,Les Classiques de l'individualisme,Classiques 2023,Classiques,2023,kli_max,5,Clásico Marisco,Marino,3,0,0,0,433,433,0,0,0,0,0,433
2909,Les Classiques de l'individualisme,Classiques 2023,Classiques,2023,kli_max,6,Discoroti Channel,kli_max,1,0,0,0,218,218,0,0,0,0,0,218
2909,Les Classiques de l'individualisme,Classiques 2023,Classiques,2023,kli_max,7,GoudalEnergies,David Choncoutié,0,0,0,0,202,202,0,0,0,0,0,202
2909,Les Classiques de l'individualisme,Classiques 2023,Classiques,2023,kli_max,8,Alpecin-Quick-Step-KAMOULOX,PeeJee,2,0,0,0,181,181,0,0,0,0,0,181
2909,Les Classiques de l'individualisme,Classiques 2023,Classiques,2023,kli_max,9,Priorité Éducation Cycliste Pro,bigdaddy,0,0,0,0,89,89,0,0,0,0,0,89
